"","dml_ate","dml_se","ivforest_ate","ivforest_se","tsls_ate","tsls_se","true_ate"
"24",26078.6598654769,2051.96604686006,31072.6135856119,2084.7348951921,23836.8693761581,6466.59002311968,36532.1442911759
"25",24801.3630977121,2060.01301031485,26063.5393600342,2591.21334950097,13080.7591237342,6422.55124362437,36372.5997921191
"26",21759.041933922,1934.52485309231,19788.4423427057,2235.14577541216,10669.532158417,6005.23798339826,36201.9734567735
"27",25953.4701566373,1970.91400269464,38269.2088741276,1954.05120064995,26455.758754338,5541.47802603054,36281.5167294185
"28",25855.0808677276,1852.61895951207,31918.7957355077,1848.09799084985,25103.578930356,5655.80650301602,36227.1556941387
"29",24171.5271226828,1963.3308110713,26163.1792083296,1943.42475630764,17325.4831343082,5886.25822928675,36266.4408768773
"30",28803.314473679,1980.63206227784,-110139.44757099,143260.454117666,26447.4450987679,6440.41253556622,36341.3956307593
"31",26243.4021630002,2025.60077970058,30456.7547258574,2220.42358873723,22382.4811706345,6129.14451357228,36327.1490197037
"32",27343.5485056713,1915.40233014047,31119.6193352436,1945.93909208807,24122.692451862,5768.63861079584,36366.1037845913
"33",25840.6913036342,1963.66906086135,-15086.8845043225,48177.4672318408,24665.095222285,5978.19593952858,36218.2480104819
"34",31507.0522224149,1969.34627277704,38861.4040661597,2007.88647630206,25305.2383800578,5948.97300397021,36323.9314482072
"35",29682.4442815613,1968.95343197609,35381.7816984236,2325.99686475803,31379.6926043954,5851.59438042739,36359.3128490431
"36",25193.5752193251,1956.44039040354,30920.8631628512,1971.06540285248,20078.0334994168,5665.70378067937,36403.7951362024
"37",23319.2747001561,1940.16273919614,24039.7298663732,1851.85953532348,20656.0462796376,5475.84728475065,36253.1435783608
"38",25447.2404295389,1937.81056598766,34215.3784005987,2012.50417552098,22558.245127084,6043.79923809738,36307.8046841701
"39",26104.4190534624,1998.67228596708,32258.0207132221,1967.47600756151,23512.8940789825,5791.89468316532,36289.1637123396
